  Seed   OurBot Total Steps   BabyAI Total Steps     Difference Steps   OurBot Missions   BabyAI Missions  Difference Missions
------------------------------------------------------------------------------------------------------------------------------
     0                 2562                 3247                  685                92                92                    0
     1                 2288                 2281                   -7                92                92                    0
     2                 2542                 2334                 -208                92                92                    0
     3                 2509                 2890                  381                92                92                    0
     4                 2381                 2669                  288                92                91                   -1
     5                 2297                 2201                  -96                92                92                    0
     6                 1756                 1762                    6                91                91                    0
     7                 2328                 2646                  318                92                91                   -1
     8                 2069                 2542                  473                92                92                    0
     9                 1872                 1855                  -17                92                91                   -1
    10                 1897                 2049                  152                92                92                    0
    11                 2463                 2470                    7                92                92                    0
    12                 2387                 2570                  183                92                92                    0
    13                 1772                 2443                  671                92                92                    0
    14                 1901                 2601                  700                91                91                    0
    15                 2261                 2189                  -72                92                92                    0
    16                 2536                 2247                 -289                92                92                    0
    17                 1755                 1959                  204                92                91                   -1
    18                 2540                 2796                  256                92                91                   -1
    19                 2314                 2475                  161                92                91                   -1
    20                 2708                 2729                   21                92                92                    0
    21                 2354                 2455                  101                92                92                    0
    22                 2198                 2563                  365                92                92                    0
    23                 1913                 2280                  367                92                92                    0
    24                 2132                 2296                  164                92                92                    0
    25                 2371                 3247                  876                92                92                    0
    26                 2703                 2486                 -217                92                91                   -1
    27                 3069                 3092                   23                91                92                    1
    28                 2109                 2555                  446                88                91                    3
    29                 2158                 2276                  118                91                91                    0
    30                 2453                 2774                  321                91                91                    0
    31                 2136                 2424                  288                92                92                    0
    32                 1894                 1823                  -71                92                92                    0
    33                 2054                 2544                  490                91                92                    1
    34                 2878                 2751                 -127                92                91                   -1
    35                 2182                 2045                 -137                91                91                    0
    36                 2454                 2330                 -124                92                91                   -1
    37                 2170                 2335                  165                92                91                   -1
    38                 2257                 2496                  239                92                91                   -1
    39                 2448                 2499                   51                92                92                    0
    40                 2538                 2940                  402                92                92                    0
    41                 2915                 2982                   67                92                92                    0
    42                 2568                 2927                  359                92                91                   -1
    43                 1725                 1817                   92                92                91                   -1
    44                 2346                 2260                  -86                92                91                   -1
    45                 1878                 2033                  155                92                92                    0
    46                 2271                 2249                  -22                92                92                    0
    47                 2946                 3330                  384                92                92                    0
    48                 2313                 2876                  563                92                91                   -1
    49                 2303                 2331                   28                92                92                    0
    50                 3096                 2768                 -328                92                91                   -1
    51                 2388                 2352                  -36                92                92                    0
    52                 1820                 2048                  228                92                91                   -1
    53                 2095                 2416                  321                92                92                    0
    54                 2070                 2004                  -66                92                92                    0
    55                 2335                 2596                  261                92                92                    0
    56                 1894                 2195                  301                91                92                    1
    57                 2321                 2330                    9                92                91                   -1
    58                 2658                 2514                 -144                92                91                   -1
    59                 2728                 2532                 -196                92                91                   -1
    60                 2126                 2211                   85                92                92                    0
    61                 2572                 2870                  298                92                91                   -1
    62                 2240                 2523                  283                92                92                    0
    63                 1921                 2168                  247                89                89                    0
    64                 2250                 2327                   77                92                92                    0
    65                 2661                 2639                  -22                92                92                    0
    66                 2573                 2441                 -132                92                92                    0
    67                 2694                 2608                  -86                92                92                    0
    68                 2268                 2006                 -262                92                92                    0
    69                 1848                 2751                  903                91                92                    1
    70                 3120                 2960                 -160                92                91                   -1
    71                 2374                 2325                  -49                92                91                   -1
    72                 1674                 2170                  496                92                92                    0
    73                 2479                 2619                  140                92                92                    0
    74                 2333                 2368                   35                92                91                   -1
    75                 2454                 2515                   61                92                92                    0
    76                 2045                 2388                  343                92                92                    0
    77                 2301                 2367                   66                92                91                   -1
    78                 1737                 2178                  441                92                92                    0
    79                 3089                 3408                  319                92                91                   -1
    80                 2354                 2873                  519                92                92                    0
    81                 2433                 2896                  463                91                91                    0
    82                 2284                 2517                  233                92                92                    0
    83                 2432                 2277                 -155                92                91                   -1
    84                 2597                 3268                  671                91                91                    0
    85                 2197                 2270                   73                92                91                   -1
    86                 2011                 2335                  324                92                91                   -1
    87                 2363                 2156                 -207                92                92                    0
    88                 2291                 2630                  339                92                91                   -1
    89                 2321                 2488                  167                92                92                    0
    90                 2022                 2025                    3                92                92                    0
    91                 2840                 2485                 -355                92                91                   -1
    92                 2386                 2334                  -52                92                91                   -1
    93                 2258                 2299                   41                92                92                    0
    94                 2152                 2080                  -72                92                91                   -1
    95                 1971                 2051                   80                92                91                   -1
    96                 2939                 2672                 -267                92                92                    0
    97                 2564                 2469                  -95                92                91                   -1
    98                 2119                 1941                 -178                92                91                   -1
    99                 1909                 1961                   52                92                92                    0
   100                 1993                 2298                  305                92                92                    0
------------------------------------------------------------------------------------------------------------------------------
  Mean              2311.62              2454.39               142.76             91.82             91.53                -0.29
