Seed 0: Total Steps = 2562, Completed Missions = 92
Seed 1: Total Steps = 2288, Completed Missions = 92
Seed 2: Total Steps = 2542, Completed Missions = 92
Seed 3: Total Steps = 2509, Completed Missions = 92
Seed 4: Total Steps = 2381, Completed Missions = 92
Seed 5: Total Steps = 2297, Completed Missions = 92
Seed 6: Total Steps = 1756, Completed Missions = 91, level BabyAI-GoToImpUnlock-v0 is impossible
Seed 7: Total Steps = 2328, Completed Missions = 92
Seed 8: Total Steps = 2069, Completed Missions = 92
Seed 9: Total Steps = 1872, Completed Missions = 92
Seed 10: Total Steps = 1897, Completed Missions = 92
Seed 11: Total Steps = 2463, Completed Missions = 92
Seed 12: Total Steps = 2387, Completed Missions = 92
Seed 13: Total Steps = 1772, Completed Missions = 92
Seed 14: Total Steps = 1901, Completed Missions = 91, level BabyAI-GoToImpUnlock-v0 is impossible
Seed 15: Total Steps = 2261, Completed Missions = 92
Seed 16: Total Steps = 2536, Completed Missions = 92
Seed 17: Total Steps = 1755, Completed Missions = 92
Seed 18: Total Steps = 2540, Completed Missions = 92
Seed 19: Total Steps = 2314, Completed Missions = 92
Seed 20: Total Steps = 2708, Completed Missions = 92
Seed 21: Total Steps = 2354, Completed Missions = 92
Seed 22: Total Steps = 2198, Completed Missions = 92
Seed 23: Total Steps = 1913, Completed Missions = 92
Seed 24: Total Steps = 2132, Completed Missions = 92
Seed 25: Total Steps = 2371, Completed Missions = 92
Seed 26: Total Steps = 2703, Completed Missions = 92
Seed 27: Total Steps = 3069, Completed Missions = 91
Seed 28: Total Steps = 2109, Completed Missions = 88
Seed 29: Total Steps = 2158, Completed Missions = 91
Seed 30: Total Steps = 2453, Completed Missions = 91
Seed 31: Total Steps = 2136, Completed Missions = 92
Seed 32: Total Steps = 1894, Completed Missions = 92
Seed 33: Total Steps = 2054, Completed Missions = 91
Seed 34: Total Steps = 2878, Completed Missions = 92
Seed 35: Total Steps = 2182, Completed Missions = 91, level BabyAI-GoToImpUnlock-v0 is impossible
Seed 36: Total Steps = 2454, Completed Missions = 92
Seed 37: Total Steps = 2170, Completed Missions = 92
Seed 38: Total Steps = 2257, Completed Missions = 92
Seed 39: Total Steps = 2448, Completed Missions = 92
Seed 40: Total Steps = 2538, Completed Missions = 92
Seed 41: Total Steps = 2915, Completed Missions = 92
Seed 42: Total Steps = 2568, Completed Missions = 92
Seed 43: Total Steps = 1725, Completed Missions = 92
Seed 44: Total Steps = 2346, Completed Missions = 92
Seed 45: Total Steps = 1878, Completed Missions = 92
Seed 46: Total Steps = 2271, Completed Missions = 92
Seed 47: Total Steps = 2946, Completed Missions = 92
Seed 48: Total Steps = 2313, Completed Missions = 92
Seed 49: Total Steps = 2303, Completed Missions = 92
Seed 50: Total Steps = 3096, Completed Missions = 92
Seed 51: Total Steps = 2388, Completed Missions = 92
Seed 52: Total Steps = 1820, Completed Missions = 92
Seed 53: Total Steps = 2095, Completed Missions = 92
Seed 54: Total Steps = 2070, Completed Missions = 92
Seed 55: Total Steps = 2335, Completed Missions = 92
Seed 56: Total Steps = 1894, Completed Missions = 91
Seed 57: Total Steps = 2321, Completed Missions = 92
Seed 58: Total Steps = 2658, Completed Missions = 92
Seed 59: Total Steps = 2728, Completed Missions = 92
Seed 60: Total Steps = 2126, Completed Missions = 92
Seed 61: Total Steps = 2572, Completed Missions = 92
Seed 62: Total Steps = 2240, Completed Missions = 92
Seed 63: Total Steps = 1921, Completed Missions = 89, level BabyAI-GoToImpUnlock-v0 is impossible, level BabyAI-Unlock-v0 is impossible
Seed 64: Total Steps = 2250, Completed Missions = 92
Seed 65: Total Steps = 2661, Completed Missions = 92
Seed 66: Total Steps = 2573, Completed Missions = 92
Seed 67: Total Steps = 2694, Completed Missions = 92
Seed 68: Total Steps = 2268, Completed Missions = 92
Seed 69: Total Steps = 1848, Completed Missions = 91
Seed 70: Total Steps = 3120, Completed Missions = 92
Seed 71: Total Steps = 2374, Completed Missions = 92
Seed 72: Total Steps = 1674, Completed Missions = 92
Seed 73: Total Steps = 2479, Completed Missions = 92
Seed 74: Total Steps = 2333, Completed Missions = 92
Seed 75: Total Steps = 2454, Completed Missions = 92
Seed 76: Total Steps = 2045, Completed Missions = 92
Seed 77: Total Steps = 2301, Completed Missions = 92
Seed 78: Total Steps = 1737, Completed Missions = 92
Seed 79: Total Steps = 3089, Completed Missions = 92
Seed 80: Total Steps = 2354, Completed Missions = 92
Seed 81: Total Steps = 2433, Completed Missions = 91
Seed 82: Total Steps = 2284, Completed Missions = 92
Seed 83: Total Steps = 2432, Completed Missions = 92
Seed 84: Total Steps = 2597, Completed Missions = 91
Seed 85: Total Steps = 2197, Completed Missions = 92
Seed 86: Total Steps = 2011, Completed Missions = 92
Seed 87: Total Steps = 2363, Completed Missions = 92
Seed 88: Total Steps = 2291, Completed Missions = 92
Seed 89: Total Steps = 2321, Completed Missions = 92
Seed 90: Total Steps = 2022, Completed Missions = 92
Seed 91: Total Steps = 2840, Completed Missions = 92
Seed 92: Total Steps = 2386, Completed Missions = 92
Seed 93: Total Steps = 2258, Completed Missions = 92
Seed 94: Total Steps = 2152, Completed Missions = 92
Seed 95: Total Steps = 1971, Completed Missions = 92
Seed 96: Total Steps = 2939, Completed Missions = 92
Seed 97: Total Steps = 2564, Completed Missions = 92
Seed 98: Total Steps = 2119, Completed Missions = 92
Seed 99: Total Steps = 1909, Completed Missions = 92
Seed 100: Total Steps = 1993, Completed Missions = 92
