BabyAI-GoToRedBallGrey-v0, Seed: 0, Steps: 8
BabyAI-GoToRedBallGrey-v0, Seed: 1, Steps: 7
BabyAI-GoToRedBallGrey-v0, Seed: 2, Steps: 8
BabyAI-GoToRedBallGrey-v0, Seed: 3, Steps: 14
BabyAI-GoToRedBallGrey-v0, Seed: 4, Steps: 3
BabyAI-GoToRedBallGrey-v0, Seed: 5, Steps: 4
BabyAI-GoToRedBallGrey-v0, Seed: 6, Steps: 2
BabyAI-GoToRedBallGrey-v0, Seed: 7, Steps: 9
BabyAI-GoToRedBallGrey-v0, Seed: 8, Steps: 5
BabyAI-GoToRedBallGrey-v0, Seed: 9, Steps: 2
BabyAI-GoToRedBall-v0, Seed: 0, Steps: 8
BabyAI-GoToRedBall-v0, Seed: 1, Steps: 7
BabyAI-GoToRedBall-v0, Seed: 2, Steps: 8
BabyAI-GoToRedBall-v0, Seed: 3, Steps: 14
BabyAI-GoToRedBall-v0, Seed: 4, Steps: 3
BabyAI-GoToRedBall-v0, Seed: 5, Steps: 4
BabyAI-GoToRedBall-v0, Seed: 6, Steps: 2
BabyAI-GoToRedBall-v0, Seed: 7, Steps: 9
BabyAI-GoToRedBall-v0, Seed: 8, Steps: 3
BabyAI-GoToRedBall-v0, Seed: 9, Steps: 2
BabyAI-GoToRedBallNoDists-v0, Seed: 0, Steps: 7
BabyAI-GoToRedBallNoDists-v0, Seed: 1, Steps: 5
BabyAI-GoToRedBallNoDists-v0, Seed: 2, Steps: 7
BabyAI-GoToRedBallNoDists-v0, Seed: 3, Steps: 12
BabyAI-GoToRedBallNoDists-v0, Seed: 4, Steps: 3
BabyAI-GoToRedBallNoDists-v0, Seed: 5, Steps: 4
BabyAI-GoToRedBallNoDists-v0, Seed: 6, Steps: 2
BabyAI-GoToRedBallNoDists-v0, Seed: 7, Steps: 6
BabyAI-GoToRedBallNoDists-v0, Seed: 8, Steps: 8
BabyAI-GoToRedBallNoDists-v0, Seed: 9, Steps: 2
BabyAI-GoToObj-v0, Seed: 0, Steps: 3
BabyAI-GoToObj-v0, Seed: 1, Steps: 5
BabyAI-GoToObj-v0, Seed: 2, Steps: 9
BabyAI-GoToObj-v0, Seed: 3, Steps: 5
BabyAI-GoToObj-v0, Seed: 4, Steps: 3
BabyAI-GoToObj-v0, Seed: 5, Steps: 3
BabyAI-GoToObj-v0, Seed: 6, Steps: 2
BabyAI-GoToObj-v0, Seed: 7, Steps: 6
BabyAI-GoToObj-v0, Seed: 8, Steps: 8
BabyAI-GoToObj-v0, Seed: 9, Steps: 2
BabyAI-GoToObjS4-v0, Seed: 0, Steps: 2
BabyAI-GoToObjS4-v0, Seed: 1, Steps: 2
