Seed 0: Total Steps = 3247, Completed Missions = 92
Seed 1: Total Steps = 2281, Completed Missions = 92
Seed 2: Total Steps = 2334, Completed Missions = 92
Seed 3: Total Steps = 2890, Completed Missions = 92
Seed 4: Total Steps = 2669, Completed Missions = 91
Seed 5: Total Steps = 2201, Completed Missions = 92
Seed 6: Total Steps = 1762, Completed Missions = 91, level BabyAI-GoToImpUnlock-v0 is impossible
Seed 7: Total Steps = 2646, Completed Missions = 91
Seed 8: Total Steps = 2542, Completed Missions = 92
Seed 9: Total Steps = 1855, Completed Missions = 91
Seed 10: Total Steps = 2049, Completed Missions = 92
Seed 11: Total Steps = 2470, Completed Missions = 92
Seed 12: Total Steps = 2570, Completed Missions = 92
Seed 13: Total Steps = 2443, Completed Missions = 92
Seed 14: Total Steps = 2601, Completed Missions = 91, level BabyAI-GoToImpUnlock-v0 is impossible
Seed 15: Total Steps = 2189, Completed Missions = 92
Seed 16: Total Steps = 2247, Completed Missions = 92
Seed 17: Total Steps = 1959, Completed Missions = 91
Seed 18: Total Steps = 2796, Completed Missions = 91
Seed 19: Total Steps = 2475, Completed Missions = 91
Seed 20: Total Steps = 2729, Completed Missions = 92
Seed 21: Total Steps = 2455, Completed Missions = 92
Seed 22: Total Steps = 2563, Completed Missions = 92
Seed 23: Total Steps = 2280, Completed Missions = 92
Seed 24: Total Steps = 2296, Completed Missions = 92
Seed 25: Total Steps = 3247, Completed Missions = 92
Seed 26: Total Steps = 2486, Completed Missions = 91
Seed 27: Total Steps = 3092, Completed Missions = 92
Seed 28: Total Steps = 2555, Completed Missions = 91
Seed 29: Total Steps = 2276, Completed Missions = 91
Seed 30: Total Steps = 2774, Completed Missions = 91
Seed 31: Total Steps = 2424, Completed Missions = 92
Seed 32: Total Steps = 1823, Completed Missions = 92
Seed 33: Total Steps = 2544, Completed Missions = 92
Seed 34: Total Steps = 2751, Completed Missions = 91
Seed 35: Total Steps = 2045, Completed Missions = 91
Seed 36: Total Steps = 2330, Completed Missions = 91
Seed 37: Total Steps = 2335, Completed Missions = 91
Seed 38: Total Steps = 2496, Completed Missions = 91
Seed 39: Total Steps = 2499, Completed Missions = 92
Seed 40: Total Steps = 2940, Completed Missions = 92
Seed 41: Total Steps = 2982, Completed Missions = 92
Seed 42: Total Steps = 2927, Completed Missions = 91
Seed 43: Total Steps = 1817, Completed Missions = 91
Seed 44: Total Steps = 2260, Completed Missions = 91
Seed 45: Total Steps = 2033, Completed Missions = 92
Seed 46: Total Steps = 2249, Completed Missions = 92
Seed 47: Total Steps = 3330, Completed Missions = 92
Seed 48: Total Steps = 2876, Completed Missions = 91
Seed 49: Total Steps = 2331, Completed Missions = 92
Seed 50: Total Steps = 2768, Completed Missions = 91
Seed 51: Total Steps = 2352, Completed Missions = 92
Seed 52: Total Steps = 2048, Completed Missions = 91
Seed 53: Total Steps = 2416, Completed Missions = 92
Seed 54: Total Steps = 2004, Completed Missions = 92
Seed 55: Total Steps = 2596, Completed Missions = 92
Seed 56: Total Steps = 2195, Completed Missions = 92
Seed 57: Total Steps = 2330, Completed Missions = 91
Seed 58: Total Steps = 2514, Completed Missions = 91
Seed 59: Total Steps = 2532, Completed Missions = 91
Seed 60: Total Steps = 2211, Completed Missions = 92
Seed 61: Total Steps = 2870, Completed Missions = 91
Seed 62: Total Steps = 2523, Completed Missions = 92
Seed 63: Total Steps = 2168, Completed Missions = 89, level BabyAI-GoToImpUnlock-v0 is impossible, level BabyAI-Unlock-v0 is impossible
Seed 64: Total Steps = 2327, Completed Missions = 92
Seed 65: Total Steps = 2639, Completed Missions = 92
Seed 66: Total Steps = 2441, Completed Missions = 92
Seed 67: Total Steps = 2608, Completed Missions = 92
Seed 68: Total Steps = 2006, Completed Missions = 92
Seed 69: Total Steps = 2751, Completed Missions = 92
Seed 70: Total Steps = 2960, Completed Missions = 91
Seed 71: Total Steps = 2325, Completed Missions = 91
Seed 72: Total Steps = 2170, Completed Missions = 92
Seed 73: Total Steps = 2619, Completed Missions = 92
Seed 74: Total Steps = 2368, Completed Missions = 91
Seed 75: Total Steps = 2515, Completed Missions = 92
Seed 76: Total Steps = 2388, Completed Missions = 92
Seed 77: Total Steps = 2367, Completed Missions = 91
Seed 78: Total Steps = 2178, Completed Missions = 92
Seed 79: Total Steps = 3408, Completed Missions = 91
Seed 80: Total Steps = 2873, Completed Missions = 92
Seed 81: Total Steps = 2896, Completed Missions = 91
Seed 82: Total Steps = 2517, Completed Missions = 92
Seed 83: Total Steps = 2277, Completed Missions = 91
Seed 84: Total Steps = 3268, Completed Missions = 91
Seed 85: Total Steps = 2270, Completed Missions = 91
Seed 86: Total Steps = 2335, Completed Missions = 91
Seed 87: Total Steps = 2156, Completed Missions = 92
Seed 88: Total Steps = 2630, Completed Missions = 91
Seed 89: Total Steps = 2488, Completed Missions = 92
Seed 90: Total Steps = 2025, Completed Missions = 92
Seed 91: Total Steps = 2485, Completed Missions = 91
Seed 92: Total Steps = 2334, Completed Missions = 91
Seed 93: Total Steps = 2299, Completed Missions = 92
Seed 94: Total Steps = 2080, Completed Missions = 91
Seed 95: Total Steps = 2051, Completed Missions = 91
Seed 96: Total Steps = 2672, Completed Missions = 92
Seed 97: Total Steps = 2469, Completed Missions = 91
Seed 98: Total Steps = 1941, Completed Missions = 91
Seed 99: Total Steps = 1961, Completed Missions = 92
Seed 100: Total Steps = 2298, Completed Missions = 92
