Seed 1: Total Steps = 2321, Completed Missions = 92
Seed 2: Total Steps = 2457, Completed Missions = 92
Seed 3: Total Steps = 2672, Completed Missions = 92
Seed 4: Total Steps = 2486, Completed Missions = 92
Seed 5: Total Steps = 2141, Completed Missions = 92
Seed 6: Total Steps = 1711, Completed Missions = 91
Seed 7: Total Steps = 2242, Completed Missions = 92
Seed 8: Total Steps = 2278, Completed Missions = 92
Seed 9: Total Steps = 1945, Completed Missions = 92
Seed 10: Total Steps = 1868, Completed Missions = 92
Seed 11: Total Steps = 2496, Completed Missions = 92
Seed 12: Total Steps = 2539, Completed Missions = 92
Seed 13: Total Steps = 1782, Completed Missions = 92
Seed 14: Total Steps = 2134, Completed Missions = 91
Seed 15: Total Steps = 2318, Completed Missions = 92
Seed 16: Total Steps = 3077, Completed Missions = 92
Seed 17: Total Steps = 1881, Completed Missions = 92
Seed 18: Total Steps = 2499, Completed Missions = 92
Seed 19: Total Steps = 2399, Completed Missions = 92
Seed 20: Total Steps = 2541, Completed Missions = 92
Seed 21: Total Steps = 2439, Completed Missions = 92
Seed 22: Total Steps = 2310, Completed Missions = 92
Seed 23: Total Steps = 1898, Completed Missions = 92
Seed 24: Total Steps = 2140, Completed Missions = 92
Seed 25: Total Steps = 2681, Completed Missions = 92
Seed 26: Total Steps = 2693, Completed Missions = 92
Seed 27: Total Steps = 3067, Completed Missions = 92
Seed 28: Total Steps = 2101, Completed Missions = 88
Seed 29: Total Steps = 2225, Completed Missions = 91

Seed 0: Total Steps = 2366, Completed Missions = 90
Seed 1: Total Steps = 2288, Completed Missions = 92
Seed 2: Total Steps = 2542, Completed Missions = 92
Seed 3: Total Steps = 2435, Completed Missions = 90
Seed 4: Total Steps = 2381, Completed Missions = 92
Seed 5: Total Steps = 2249, Completed Missions = 91
Seed 6: Total Steps = 1756, Completed Missions = 91
Seed 7: Total Steps = 2328, Completed Missions = 92
Seed 8: Total Steps = 2008, Completed Missions = 91
Seed 9: Total Steps = 1820, Completed Missions = 91
Seed 10: Total Steps = 1863, Completed Missions = 91
Seed 11: Total Steps = 2419, Completed Missions = 91
Seed 12: Total Steps = 2387, Completed Missions = 92
Seed 13: Total Steps = 1772, Completed Missions = 92
Seed 14: Total Steps = 1901, Completed Missions = 91
Seed 15: Total Steps = 2261, Completed Missions = 92
Seed 16: Total Steps = 2459, Completed Missions = 91
Seed 17: Total Steps = 1625, Completed Missions = 90
Seed 18: Total Steps = 2496, Completed Missions = 91
Seed 19: Total Steps = 2262, Completed Missions = 91
Seed 20: Total Steps = 2708, Completed Missions = 92
Seed 21: Total Steps = 2354, Completed Missions = 92
Seed 22: Total Steps = 2228, Completed Missions = 92
Seed 23: Total Steps = 1866, Completed Missions = 91
Seed 24: Total Steps = 2119, Completed Missions = 91
Seed 25: Total Steps = 2266, Completed Missions = 90
Seed 26: Total Steps = 2703, Completed Missions = 92
Seed 27: Total Steps = 3098, Completed Missions = 92
Seed 28: Total Steps = 2244, Completed Missions = 91
Seed 29: Total Steps = 2084, Completed Missions = 89
